jeh__k|1
mihikaa.jhaveri|1
rhea_bhartiya|1
rians_269|1
shaan.0401|1
abwa_confessions|-1
kahaanbd|0
aaravpasad31|0
rishnejain|0
vedants3460|0
prishaa_naheta|0
falakmodii|0
garvikaa|0
soham.balsari25|0
siyatantia|0
aparnaa007|0
suhani.kedia|0
khushiborana__|0
sanayavoraa|0
aangii.shah|0
yuvi062809|0
jehan_k|0
sarah_pitt5|0
veergshah_|0
aadishah18|0
vivaan_d7|0
prathamesh.shenoy|0
aimaanzakaria_|0
aryaanjetha7|0
anantyadaga_|0
pransh.jain|0
ayaangandhi10|0
yashash_jain|0
gia_narang|0
adhyasoni._|0
kabir_pokarna|0
aadit__s|0
aj_311005|0
taniatosh2005|0
neel_adventures|1
sumervaidya99|0
rupaniadi|0
rivan_kukreja|0
anaya_468|0
shyam_2026|0
aditiladda|0
anayamehta07|0
dhruv22shah|0
ishitantia|0
sanghvi4524|0
abhisheknandakumar|0
siya.rajgarhia|0
advaitdadha|0
nirmam2005|0
mahika_kanodia|0
supriya_003_|0
faizaan_makaneyy|0
bilawalashayaan|0
zahanmerchant8777|0
vivaankothari|0
zainabkagzi1|0
devshah2095|0
chaitanya2662|0
shaan_patel31|0
karthik_.28|0
aryamannkothari|0
jiatulsianii|0
shourya.k99|0
anaayah_m|0
trishadalmia|0
kabirsaraa|0
vanshbhimani2611|0
siddh.shah2006|0
vyom_jain30|0
ruhiikapadia|0
ahanaa.dalal|0
saragupta_5|0
nityanshinewar|0
daksh_goel_|0
ayanna.shah726|0
naina.choksi|0
sanaa.dharamshi|0
